NUMBER,BILL_LINK,TITLE,FILED_BY,LAST_ACTION_AND_LOCATION
SB 712,https://www.flsenate.gov/Session/Bill/2019/00712,School Safety Funding,Cruz,Last Action: 3/5/2019 S Introduced -SJ 85
SB 714,https://www.flsenate.gov/Session/Bill/2019/00714,Insurance,Brandes,Last Action: 4/11/2019 S Now in Appropriations
SB 716,https://www.flsenate.gov/Session/Bill/2019/00716,Dental Services,Hooper,Last Action: 4/11/2019 S Now in Appropriations
SB 718,https://www.flsenate.gov/Session/Bill/2019/00718,Honor and Remember Flag,Gruters,Last Action: 4/9/2019 S Now in Appropriations
SB 720,https://www.flsenate.gov/Session/Bill/2019/00720,Renaming of Florida College System Institutions,Flores,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 722,https://www.flsenate.gov/Session/Bill/2019/00722,Carrying of Firearms by Tactical Medical Professionals,Hooper,Last Action: 4/3/2019 S Now in Rules
SB 724,https://www.flsenate.gov/Session/Bill/2019/00724,Residential Swimming Pool Safety,Hooper,Last Action: 3/26/2019 S CS by Community Affairs read 1st time -SJ 268
SB 726,https://www.flsenate.gov/Session/Bill/2019/00726,Tourist Development Tax,Stewart,Last Action: 3/5/2019 S Introduced -SJ 85
SB 728,https://www.flsenate.gov/Session/Bill/2019/00728,Community Development Districts,Lee,Last Action: 4/4/2019 S CS by Infrastructure and Security read 1st time -SJ 326
SB 730,https://www.flsenate.gov/Session/Bill/2019/00730,Electrical Contractors,Gibson,Last Action: 3/5/2019 S Introduced -SJ 86
SB 732,https://www.flsenate.gov/Session/Bill/2019/00732,Clinics and Office Surgery,Flores,Last Action: 4/11/2019 S Now in Appropriations
SB 734,https://www.flsenate.gov/Session/Bill/2019/00734,Penalties and Fees,Rouson,Last Action: 3/5/2019 S Introduced -SJ 86
SB 736,https://www.flsenate.gov/Session/Bill/2019/00736,Nontransferable Tickets,Hutson,Last Action: 3/5/2019 S Introduced -SJ 87
SB 738,https://www.flsenate.gov/Session/Bill/2019/00738,Annual Business Organization Reports and Fees,Baxley,"Last Action: 3/5/2019 S Now in Appropriations Subcommittee on Transportation, Tourism, and Economic Development"
SB 740,https://www.flsenate.gov/Session/Bill/2019/00740,Fees/Business Organization Reports,Baxley,Last Action: 3/7/2019 S CS by Commerce and Tourism read 1st time -SJ 192
SB 742,https://www.flsenate.gov/Session/Bill/2019/00742,Designation of Eligible Telecommunications Carriers,Braynon,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 744,https://www.flsenate.gov/Session/Bill/2019/00744,Special Risk Class of the Florida Retirement System,Book,Last Action: 3/5/2019 S Introduced -SJ 88
SB 746,https://www.flsenate.gov/Session/Bill/2019/00746,Public Records/Judicial Assistants,Wright,Last Action: 4/2/2019 S Now in Rules
SB 748,https://www.flsenate.gov/Session/Bill/2019/00748,Florida Veterans' Hall of Fame,Harrell,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SB 750,https://www.flsenate.gov/Session/Bill/2019/00750,Research and Development Tax Credit,Gruters,Last Action: 3/7/2019 S CS by Commerce and Tourism read 1st time -SJ 192
SB 752,https://www.flsenate.gov/Session/Bill/2019/00752,Concealed Weapons and Firearms,Berman,Last Action: 3/5/2019 S Introduced -SJ 88
SB 754,https://www.flsenate.gov/Session/Bill/2019/00754,Motor Vehicle Insurance Coverage for Windshield Glass,Stewart,Last Action: 3/19/2019 S Now in Rules
SB 756,https://www.flsenate.gov/Session/Bill/2019/00756,Donor Human Milk Bank Services,Book,Last Action: 3/5/2019 S Introduced -SJ 88
SB 758,https://www.flsenate.gov/Session/Bill/2019/00758,Maternal Mortality Prevention Task Force,Gibson,Last Action: 3/5/2019 S Introduced -SJ 88
SB 760,https://www.flsenate.gov/Session/Bill/2019/00760,Jury Service,Harrell,Last Action: 4/3/2019 S CS by Judiciary read 1st time -SJ 315
SB 762,https://www.flsenate.gov/Session/Bill/2019/00762,Duties and Obligations of Sheriffs,Gruters,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 764,https://www.flsenate.gov/Session/Bill/2019/00764,Home Safety,Berman,Last Action: 3/5/2019 S Introduced -SJ 88
SB 766,https://www.flsenate.gov/Session/Bill/2019/00766,Expanded Uses of Unmanned Aircraft,Gruters,Last Action: 4/2/2019 S CS/CS by Infrastructure and Security read 1st time -SJ 290
SB 768,https://www.flsenate.gov/Session/Bill/2019/00768,Attorney Fees,Perry,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 770,https://www.flsenate.gov/Session/Bill/2019/00770,Workforce Education,Hutson,Last Action: 4/12/2019 S Now in Appropriations
SB 772,https://www.flsenate.gov/Session/Bill/2019/00772,Liens Against Motor Vehicles and Vessels,Stargel,Last Action: 4/10/2019 S CS/CS by Judiciary read 1st time -SJ 344
SB 774,https://www.flsenate.gov/Session/Bill/2019/00774,Animal Welfare,Gruters,Last Action: 3/5/2019 S Introduced -SJ 89
SB 776,https://www.flsenate.gov/Session/Bill/2019/00776,Sexual Misconduct Reporting in Health Care,Baxley,Last Action: 3/14/2019 S CS by Criminal Justice read 1st time -SJ 242
SB 778,https://www.flsenate.gov/Session/Bill/2019/00778,Program of All-Inclusive Care for the Elderly,Baxley,Last Action: 4/8/2019 S Now in Appropriations
SB 780,https://www.flsenate.gov/Session/Bill/2019/00780,Office of the Judges of Compensation Claims,Simmons,"Last Action: 3/5/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and  General Government"
SB 782,https://www.flsenate.gov/Session/Bill/2019/00782,Youthful Offenders,Simmons,Last Action: 3/19/2019 S Now in Appropriations
SB 784,https://www.flsenate.gov/Session/Bill/2019/00784,Retirement,Gruters,"Last Action: 4/12/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and General Government"
SB 786,https://www.flsenate.gov/Session/Bill/2019/00786,"Public Records/Mental, Emotional, and Behavioral Disorders/Substance Use Disorder",Book,Last Action: 3/5/2019 S Introduced -SJ 90
SB 788,https://www.flsenate.gov/Session/Bill/2019/00788,Firearms,Book,Last Action: 3/5/2019 S Introduced -SJ 90
SB 790,https://www.flsenate.gov/Session/Bill/2019/00790,Emergency Alerts,Simmons,Last Action: 3/5/2019 S Introduced -SJ 90
SB 792,https://www.flsenate.gov/Session/Bill/2019/00792,Abortion,Baxley,Last Action: 3/5/2019 S Introduced -SJ 91
SB 794,https://www.flsenate.gov/Session/Bill/2019/00794,Third-party Agreements in Civil Proceedings,Baxley,Last Action: 3/5/2019 S Introduced -SJ 91
SB 796,https://www.flsenate.gov/Session/Bill/2019/00796,Public Utility Storm Protection Plans,Gruters,Last Action: 4/11/2019 S CS/CS/CS by- Appropriations; YEAS 19 NAYS 0
SB 798,https://www.flsenate.gov/Session/Bill/2019/00798,Baccalaureate Degree Access,Mayfield,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 800,https://www.flsenate.gov/Session/Bill/2019/00800,Duty to Assist,Pizzo,Last Action: 3/11/2019 S Now in Judiciary
SB 802,https://www.flsenate.gov/Session/Bill/2019/00802,Public School Transportation,Perry,Last Action: 3/5/2019 S Introduced -SJ 91
SM 804,https://www.flsenate.gov/Session/Bill/2019/00804,Humanitarian Assistance/Government of Venezuela,Torres,Last Action: 3/7/2019 S CS by Judiciary read 1st time -SJ 192
SB 806,https://www.flsenate.gov/Session/Bill/2019/00806,Local Government Public Construction Works,Perry,Last Action: 3/13/2019 S Now in Governmental Oversight and Accountability
SB 808,https://www.flsenate.gov/Session/Bill/2019/00808,Specialty License Plates/Ethical Ecotourism,Perry,Last Action: 3/5/2019 S Introduced -SJ 92
SB 810,https://www.flsenate.gov/Session/Bill/2019/00810,Fees/Ethical Ecotourism License Plate,Perry,Last Action: 3/5/2019 S Introduced -SJ 92
SB 812,https://www.flsenate.gov/Session/Bill/2019/00812,Vacation Rentals,Simmons,Last Action: 3/5/2019 S Introduced -SJ 92
SB 814,https://www.flsenate.gov/Session/Bill/2019/00814,Fees/Hosting Platforms/Transient Public Lodging Establishments,Simmons,Last Action: 3/5/2019 S Introduced -SJ 92
SB 816,https://www.flsenate.gov/Session/Bill/2019/00816,Environmental Regulation,Perry,Last Action: 4/9/2019 S Now in Appropriations
SB 818,https://www.flsenate.gov/Session/Bill/2019/00818,Mental Health,Book,Last Action: 3/19/2019 S Now in Judiciary
SB 820,https://www.flsenate.gov/Session/Bill/2019/00820,Sheriffs Providing Child Protective Investigative Services,Gainer,Last Action: 3/5/2019 S Introduced -SJ 93
SB 822,https://www.flsenate.gov/Session/Bill/2019/00822,Assault or Battery,Pizzo,Last Action: 3/7/2019 S CS by Criminal Justice read 1st time -SJ 192
SB 824,https://www.flsenate.gov/Session/Bill/2019/00824,Private Property Rights of Homeowners,Diaz,"Last Action: 4/10/2019 S On Committee agenda-- Innovation, Industry, and Technology, 04/10/19, 1:30 pm, 110 Senate Building --Temporarily Postponed"
SB 826,https://www.flsenate.gov/Session/Bill/2019/00826,Towing-storage Operator Liens,Rouson,Last Action: 4/9/2019 S Now in Appropriations
SB 828,https://www.flsenate.gov/Session/Bill/2019/00828,Lewd or Lascivious Exhibition,Rader,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 830,https://www.flsenate.gov/Session/Bill/2019/00830,Emergency Power for Facilities Providing Dialysis Services,Braynon,Last Action: 3/5/2019 S Introduced -SJ 94
SB 832,https://www.flsenate.gov/Session/Bill/2019/00832,Adoption Records,Rader,Last Action: 4/10/2019 S CS by Health Policy read 1st time -SJ 344
SB 834,https://www.flsenate.gov/Session/Bill/2019/00834,Presentencing Consideration,Bracy,Last Action: 3/5/2019 S Introduced -SJ 94
SB 836,https://www.flsenate.gov/Session/Bill/2019/00836,Public Records/Public Shelter During an Emergency,Powell,Last Action: 3/5/2019 S Introduced -SJ 94
SB 838,https://www.flsenate.gov/Session/Bill/2019/00838,Public Records/Mental Health Treatment and Services,Powell,Last Action: 4/2/2019 S Now in Rules
SB 840,https://www.flsenate.gov/Session/Bill/2019/00840,Internship Tax Credit Program,Powell,Last Action: 3/21/2019 S Withdrawn from further consideration
SB 842,https://www.flsenate.gov/Session/Bill/2019/00842,County Funding for Affordable Housing,Thurston,Last Action: 3/5/2019 S Introduced -SJ 94
SB 844,https://www.flsenate.gov/Session/Bill/2019/00844,At-Risk Adult Alert Plan,Berman,Last Action: 4/11/2019 S CS/CS by- Appropriations; YEAS 20 NAYS 0
SB 846,https://www.flsenate.gov/Session/Bill/2019/00846,HIV Prevention,Pizzo,"Last Action: 3/25/2019 S On Committee agenda-- Health Policy, 03/25/19, 1:30 pm, 412 Knott Building --Temporarily Postponed"
SB 848,https://www.flsenate.gov/Session/Bill/2019/00848,Underground Facility Damage Prevention and Safety,Broxson,Last Action: 3/5/2019 S Introduced -SJ 95
SB 850,https://www.flsenate.gov/Session/Bill/2019/00850,Prosecuting Children as Adults,Powell,Last Action: 3/5/2019 S Introduced -SJ 95
SM 852,https://www.flsenate.gov/Session/Bill/2019/00852,VA MISSION Act of 2018,Diaz,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 854,https://www.flsenate.gov/Session/Bill/2019/00854,Special Neighborhood Improvement Districts,Gruters,"Last Action: 4/9/2019 S Now in Innovation, Industry, and Technology"
SB 856,https://www.flsenate.gov/Session/Bill/2019/00856,Homestead Exemptions,Gruters,Last Action: 4/9/2019 S CS by Finance and Tax read 1st time -SJ 335
SB 858,https://www.flsenate.gov/Session/Bill/2019/00858,Natural Hair Braiding,Stargel,Last Action: 3/5/2019 S Introduced -SJ 96
SB 860,https://www.flsenate.gov/Session/Bill/2019/00860,Alzheimer’s Disease,Stargel,Last Action: 4/11/2019 S CS by- Appropriations; YEAS 19 NAYS 0
SB 862,https://www.flsenate.gov/Session/Bill/2019/00862,Lessor Liability Under Special Mobile Equipment Leases,Stargel,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 864,https://www.flsenate.gov/Session/Bill/2019/00864,Emergency Management,Gruters,Last Action: 3/5/2019 S Introduced -SJ 96
SB 866,https://www.flsenate.gov/Session/Bill/2019/00866,Workplace Sexual Harassment and Sexual Assault,Berman,Last Action: 3/5/2019 S Introduced -SJ 96
SB 868,https://www.flsenate.gov/Session/Bill/2019/00868,Local Business Taxes,Hutson,Last Action: 3/5/2019 S Introduced -SJ 96
SB 870,https://www.flsenate.gov/Session/Bill/2019/00870,Detention of Children,Powell,Last Action: 3/5/2019 S Introduced -SJ 96
SB 872,https://www.flsenate.gov/Session/Bill/2019/00872,Transportation Facility Designations/Kurt Eichin Memorial Trail,Gruters,Last Action: 3/5/2019 S Introduced -SJ 97
SB 874,https://www.flsenate.gov/Session/Bill/2019/00874,Consumer Finance Loans,Rouson,Last Action: 4/2/2019 S CS by Banking and Insurance read 1st time -SJ 290
SB 876,https://www.flsenate.gov/Session/Bill/2019/00876,Direct Filing of an Information,Powell,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 878,https://www.flsenate.gov/Session/Bill/2019/00878,Corporate Taxable Income Adjustments,Gruters,Last Action: 3/7/2019 S CS by Commerce and Tourism read 1st time -SJ 192
SB 880,https://www.flsenate.gov/Session/Bill/2019/00880,Young Farmers and Ranchers,Albritton,"Last Action: 3/19/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and General Government"
SB 882,https://www.flsenate.gov/Session/Bill/2019/00882,Restrictive Covenants,Gruters,Last Action: 4/10/2019 S CS by Commerce and Tourism read 1st time -SJ 344
SB 884,https://www.flsenate.gov/Session/Bill/2019/00884,"Clinical Social Workers, Marriage and Family Therapists, and Mental Health Counselors",Baxley,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SJR 886,https://www.flsenate.gov/Session/Bill/2019/00886,Homestead Tax Exemption/Surviving Spouse of a Veteran,Brandes,Last Action: 4/4/2019 S Now in Appropriations
SB 888,https://www.flsenate.gov/Session/Bill/2019/00888,Homestead Property Tax Discount,Brandes,Last Action: 4/4/2019 S Now in Appropriations
SB 890,https://www.flsenate.gov/Session/Bill/2019/00890,Drug-free Workplaces,Baxley,Last Action: 3/21/2019 S CS by Commerce and Tourism read 1st time -SJ 259
SB 892,https://www.flsenate.gov/Session/Bill/2019/00892,Business Organizations,Passidomo,Last Action: 4/10/2019 S Now in Appropriations
SB 894,https://www.flsenate.gov/Session/Bill/2019/00894,Individual Wine Containers,Stargel,Last Action: 3/5/2019 S Introduced -SJ 101
SB 896,https://www.flsenate.gov/Session/Bill/2019/00896,Motor Vehicle Insurance,Brandes,Last Action: 3/5/2019 S Introduced -SJ 101
SB 898,https://www.flsenate.gov/Session/Bill/2019/00898,Transportation,Diaz,Last Action: 4/8/2019 S Now in Appropriations
SB 900,https://www.flsenate.gov/Session/Bill/2019/00900,Substance Abuse Services,Harrell,Last Action: 4/11/2019 S Now in Appropriations
SB 902,https://www.flsenate.gov/Session/Bill/2019/00902,Open and Expired Building Permits,Perry,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 904,https://www.flsenate.gov/Session/Bill/2019/00904,Assignment of Property Insurance Benefits,Rader,Last Action: 3/5/2019 S Introduced -SJ 103
SB 906,https://www.flsenate.gov/Session/Bill/2019/00906,Prescribed Drug Services and Audits,Wright,Last Action: 3/5/2019 S Introduced -SJ 103
SB 908,https://www.flsenate.gov/Session/Bill/2019/00908,Firesafety Systems,Hooper,Last Action: 4/3/2019 S CS/CS by Community Affairs read 1st time -SJ 315
SB 910,https://www.flsenate.gov/Session/Bill/2019/00910,Court-ordered Treatment Programs,Gainer,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 912,https://www.flsenate.gov/Session/Bill/2019/00912,Florida Complete Count Committee,Powell,Last Action: 3/5/2019 S Introduced -SJ 104
SB 914,https://www.flsenate.gov/Session/Bill/2019/00914,Educational Dollars for Duty Program,Pizzo,"Last Action: 4/10/2019 S Now in Appropriations Subcommittee on Transportation, Tourism, and Economic Development"
SB 916,https://www.flsenate.gov/Session/Bill/2019/00916,Technology Crimes,Pizzo,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 918,https://www.flsenate.gov/Session/Bill/2019/00918,Adoption Assistance for Children in the Child Welfare System,Thurston,Last Action: 3/5/2019 S Introduced -SJ 104
SB 920,https://www.flsenate.gov/Session/Bill/2019/00920,DNA Database,Pizzo,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 922,https://www.flsenate.gov/Session/Bill/2019/00922,Discharging Firearms in Public or on Residential Property,Berman,Last Action: 3/5/2019 S Introduced -SJ 104
SB 924,https://www.flsenate.gov/Session/Bill/2019/00924,Occupational Licensing,Albritton,Last Action: 3/5/2019 S Introduced -SJ 104
SB 926,https://www.flsenate.gov/Session/Bill/2019/00926,Education in Public Schools Concerning Human Sexuality,Berman,Last Action: 3/5/2019 S Introduced -SJ 104
SB 928,https://www.flsenate.gov/Session/Bill/2019/00928,Rebuilt Motor Vehicle Inspection Program,Diaz,Last Action: 3/5/2019 S Introduced -SJ 105
SR 930,https://www.flsenate.gov/Session/Bill/2019/00930,Autism Soccer Awareness Week,Taddeo,Last Action: 4/3/2019 S Adopted -SJ 305
SB 932,https://www.flsenate.gov/Session/Bill/2019/00932,Autonomous Vehicles,Brandes,Last Action: 4/8/2019 S Now in Appropriations
SB 934,https://www.flsenate.gov/Session/Bill/2019/00934,High-performing Charter Schools,Diaz,Last Action: 4/9/2019 S Now in Appropriations
SB 936,https://www.flsenate.gov/Session/Bill/2019/00936,Criminal History Records,Bracy,Last Action: 3/14/2019 S CS by Criminal Justice read 1st time -SJ 246
SB 938,https://www.flsenate.gov/Session/Bill/2019/00938,Public Records/Criminal History Records,Bracy,Last Action: 3/14/2019 S CS by Criminal Justice read 1st time -SJ 246
SB 940,https://www.flsenate.gov/Session/Bill/2019/00940,Crimes Evidencing Prejudice,Rader,Last Action: 3/5/2019 S Introduced -SJ 105
SB 942,https://www.flsenate.gov/Session/Bill/2019/00942,Transportation Facility Designations,Montford,Last Action: 3/5/2019 S Introduced -SJ 106
SB 944,https://www.flsenate.gov/Session/Bill/2019/00944,Land Acquisition Trust Fund,Stewart,"Last Action: 3/13/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and  General Government"
SB 946,https://www.flsenate.gov/Session/Bill/2019/00946,Background Screening,Powell,Last Action: 3/5/2019 S Introduced -SJ 106
SB 948,https://www.flsenate.gov/Session/Bill/2019/00948,Student Loans and Scholarship Obligations of Health Care Practitioners,Cruz,Last Action: 3/5/2019 S Introduced -SJ 106
SB 950,https://www.flsenate.gov/Session/Bill/2019/00950,Statewide Medicaid Residency Program,Book,Last Action: 3/5/2019 S Introduced -SJ 106
SB 952,https://www.flsenate.gov/Session/Bill/2019/00952,Electronic Navigation Systems,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 106
SB 954,https://www.flsenate.gov/Session/Bill/2019/00954,Stem Cells,Berman,Last Action: 3/5/2019 S Introduced -SJ 106
SB 956,https://www.flsenate.gov/Session/Bill/2019/00956,Three-dimensional Printed Firearms,Stewart,Last Action: 3/5/2019 S Introduced -SJ 106
SB 958,https://www.flsenate.gov/Session/Bill/2019/00958,Housing Discrimination,Rouson,Last Action: 4/9/2019 S Now in Governmental Oversight and Accountability
SB 960,https://www.flsenate.gov/Session/Bill/2019/00960,Marchman Act,Farmer,Last Action: 3/5/2019 S Introduced -SJ 107
SB 962,https://www.flsenate.gov/Session/Bill/2019/00962,Malt Beverages,Diaz,"Last Action: 3/25/2019 S On Committee agenda-- Commerce and Tourism, 03/25/19, 1:30 pm, 110 Senate Building --Temporarily Postponed"
SB 964,https://www.flsenate.gov/Session/Bill/2019/00964,School Buses,Berman,Last Action: 3/5/2019 S Introduced -SJ 107
SB 966,https://www.flsenate.gov/Session/Bill/2019/00966,Juvenile Diversion Expungement,Perry,Last Action: 3/5/2019 S Introduced -SJ 107
SB 968,https://www.flsenate.gov/Session/Bill/2019/00968,Court Reporter Registry,Simmons,Last Action: 3/5/2019 S Now in Appropriations Subcommittee on Criminal and Civil Justice
SB 970,https://www.flsenate.gov/Session/Bill/2019/00970,Voluntary Prekindergarten Education Program,Baxley,Last Action: 3/5/2019 S Introduced -SJ 107
SB 972,https://www.flsenate.gov/Session/Bill/2019/00972,Innovation in the Advanced Practice Registered Nursing Workforce,Brandes,Last Action: 3/5/2019 S Introduced -SJ 107
SB 974,https://www.flsenate.gov/Session/Bill/2019/00974,"Damaged, Dismantled, Derelict, or Salvage Motor Vehicles",Perry,Last Action: 4/11/2019 S CS/CS by- Appropriations; YEAS 19 NAYS 0
SB 976,https://www.flsenate.gov/Session/Bill/2019/00976,Care for Retired Law Enforcement Dogs,Powell,Last Action: 3/5/2019 S Introduced -SJ 108
SB 978,https://www.flsenate.gov/Session/Bill/2019/00978,Professional and Driver Licensing During a State of Emergency,Torres,Last Action: 3/5/2019 S Introduced -SJ 108
SB 980,https://www.flsenate.gov/Session/Bill/2019/00980,Public Records/Petition for Certain Protective Injunctions,Harrell,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 982,https://www.flsenate.gov/Session/Bill/2019/00982,Human Trafficking Education in Schools,Thurston,Last Action: 4/8/2019 S Now in Appropriations
SB 984,https://www.flsenate.gov/Session/Bill/2019/00984,Fees/Gopher Tortoise License Plate,Stewart,Last Action: 3/5/2019 S Introduced -SJ 108
SB 986,https://www.flsenate.gov/Session/Bill/2019/00986,Fees/Orlando United License Plate,Stewart,Last Action: 3/5/2019 S Introduced -SJ 108
SR 988,https://www.flsenate.gov/Session/Bill/2019/00988,Florida Black Bear/ Endangered and Threatened Species Act,Stewart,Last Action: 3/5/2019 S Introduced -SJ 108
SB 990,https://www.flsenate.gov/Session/Bill/2019/00990,Unemployment Compensation,Gibson,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 992,https://www.flsenate.gov/Session/Bill/2019/00992,Bump-fire Stocks,Stewart,Last Action: 3/5/2019 S Introduced -SJ 108
SB 994,https://www.flsenate.gov/Session/Bill/2019/00994,Practice of Chiropractic,Harrell,Last Action: 2/20/2019 S Withdrawn prior to introduction -SJ 109
SB 996,https://www.flsenate.gov/Session/Bill/2019/00996,Possession of Firearms on School Property,Hutson,Last Action: 3/5/2019 S Introduced -SJ 109
SB 998,https://www.flsenate.gov/Session/Bill/2019/00998,Public Notification of Pollution,Montford,Last Action: 3/5/2019 S Introduced -SJ 109
SB 1000,https://www.flsenate.gov/Session/Bill/2019/01000,Communications Services,Hutson,Last Action: 4/9/2019 S Now in Appropriations
SB 1002,https://www.flsenate.gov/Session/Bill/2019/01002,Motor Vehicles and Railroad Trains,Hutson,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 1004,https://www.flsenate.gov/Session/Bill/2019/01004,Regional Planning Council Meetings,Rodriguez,Last Action: 4/3/2019 S Now in Rules
SB 1006,https://www.flsenate.gov/Session/Bill/2019/01006,Public Electric Utility Rates,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 109
SB 1008,https://www.flsenate.gov/Session/Bill/2019/01008,Ethics,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 109
SB 1010,https://www.flsenate.gov/Session/Bill/2019/01010,Mandatory Retention,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 109
SB 1012,https://www.flsenate.gov/Session/Bill/2019/01012,Jurors,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 109
SB 1014,https://www.flsenate.gov/Session/Bill/2019/01014,Film and Television Production,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 109
SB 1016,https://www.flsenate.gov/Session/Bill/2019/01016,Public Records/Florida Motion Picture Capital Corporation,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 110
SCR 1018,https://www.flsenate.gov/Session/Bill/2019/01018,Joint Session for Purpose of Receiving Governor's Message,Benacquisto,Last Action: 3/6/2019  Signed by Officers and filed with Secretary of State -SJ 193
SB 1020,https://www.flsenate.gov/Session/Bill/2019/01020,State Hemp Program,Bradley,Last Action: 4/11/2019 S CS/CS by- Appropriations; YEAS 19 NAYS 0
SB 1022,https://www.flsenate.gov/Session/Bill/2019/01022,Onsite Sewage Treatment and Disposal Systems,Albritton,Last Action: 4/2/2019 S CS by Environment and Natural Resources read 1st time -SJ 294
SB 1024,https://www.flsenate.gov/Session/Bill/2019/01024,Blockchain Technology,Gruters,"Last Action: 4/3/2019 S CS by Innovation, Industry, and Technology read 1st time -SJ 316"
SB 1026,https://www.flsenate.gov/Session/Bill/2019/01026,Fees/Advanced Birth Centers,Harrell,"Last Action: 3/5/2019 S Now in Children, Families, and Elder Affairs"
SB 1028,https://www.flsenate.gov/Session/Bill/2019/01028,School Funding,Hutson,Last Action: 3/5/2019 S Introduced -SJ 110
SB 1030,https://www.flsenate.gov/Session/Bill/2019/01030,Mitigating Circumstances in Sentencing,Bracy,Last Action: 4/5/2019 S Now in Appropriations
SB 1032,https://www.flsenate.gov/Session/Bill/2019/01032,Inmate Placement,Bracy,Last Action: 3/5/2019 S Introduced -SJ 111
SB 1034,https://www.flsenate.gov/Session/Bill/2019/01034,Assignment of Consumer Debts,Gruters,Last Action: 4/10/2019 S CS/CS by Judiciary read 1st time -SJ 344
SB 1036,https://www.flsenate.gov/Session/Bill/2019/01036,Florida Building Code Enforcement,Gruters,"Last Action: 4/11/2019 S Now in Innovation, Industry, and Technology"
SB 1038,https://www.flsenate.gov/Session/Bill/2019/01038,Increment Revenues,Rader,Last Action: 3/5/2019 S Introduced -SJ 111
SB 1040,https://www.flsenate.gov/Session/Bill/2019/01040,Discretionary Sales Surtaxes,Lee,"Last Action: 4/11/2019 S On Committee agenda-- Finance and Tax, 04/16/19, 1:00 pm, 401 Senate Building"
SB 1042,https://www.flsenate.gov/Session/Bill/2019/01042,Marriage and Family Therapists,Torres,Last Action: 3/5/2019 S Introduced -SJ 111
SB 1044,https://www.flsenate.gov/Session/Bill/2019/01044,Department of Transportation,Albritton,Last Action: 4/8/2019 S Now in Appropriations
SB 1046,https://www.flsenate.gov/Session/Bill/2019/01046,Tobacco Products,Mayfield,Last Action: 3/5/2019 S Introduced -SJ 111
SB 1048,https://www.flsenate.gov/Session/Bill/2019/01048,Agreement Among the States to Elect the President by National Popular Vote,Torres,Last Action: 3/5/2019 S Introduced -SJ 112
SB 1050,https://www.flsenate.gov/Session/Bill/2019/01050,Pharmacy,Diaz,Last Action: 3/5/2019 S Introduced -SJ 112
SB 1052,https://www.flsenate.gov/Session/Bill/2019/01052,Motor Vehicle Insurance,Lee,Last Action: 4/1/2019 S Now in Appropriations
SB 1054,https://www.flsenate.gov/Session/Bill/2019/01054,Community Redevelopment Agencies,Lee,Last Action: 4/10/2019 S Now in Appropriations
SB 1056,https://www.flsenate.gov/Session/Bill/2019/01056,Florida Disaster Resilience Task Force,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 113
SB 1058,https://www.flsenate.gov/Session/Bill/2019/01058,State Hemp Program,Albritton,Last Action: 3/5/2019 S Introduced -SJ 113
